City,State,Specialty,Hospital Name
,,,SSM Health St. Clare Hospital - Baraboo
,,,SSM Health St. Clare Hospital - Fenton
,,,SSM Health St. Joseph Hospital - Lake Saint Louis
,,,SSM Health St. Joseph Hospital-St. Charles
,,,SSM Health St. Mary's Hospital - Janesville
,,,SSM Health St. Mary's Hospital - Jefferson City
,,,SSM Health St. Mary's Hospital - Madison
,,,SSM Health St. Mary's Hospital - St. Louis
,,,SSM Health St. Mary's Hospital-Centralia
,,,Sacred Heart Hospital On The Emerald Coast
,,,SageWest Health Care - Lander
,,,SageWest Health Care - Riverton
,,,Saint Agnes Medical Center
,,,Saint Alphonsus Medical Center - Nampa
,,,Saint Alphonsus Medical Center - Ontario
,,,Saint Alphonsus Regional Medical Center - Boise
,,,Saint Anne's Hospital
,,,Saint Anthony Hospital
,,,Saint Clare's Hospital of Denville
,,,Saint Clare's Hospital of Dover
,,,Saint Francis Hospital
,,,Saint Francis Hospital - Bartlett
,,,Saint Francis Hospital - Memphis
,,,Saint Francis Hospital Muskogee
,,,Saint Francis Hospital South
,,,Saint Francis Memorial Hospital
,,,Saint Joseph - London
,,,Saint Joseph East
,,,Saint Joseph Health Mishawaka Medical Center
,,,Saint Joseph Health Plymouth Medical Center
,,,Saint Joseph Hospital
,,,Saint Joseph Mount Sterling
,,,Saint Luke's East Hospital
,,,Saint Luke's Hospital of Kansas City
,,,Saint Luke's North Hospital - Barry Road
,,,Saint Luke's South Hospital
,,,Saint Mary's Hospital
,,,Saint Michael's Medical Center
,,,Saint Peter's University Hospital
,,,Saint Thomas River Park Hospital
,,,Saint Vincent Hospital
,,,Salem Hospital
,,,Salina Regional Health Center
,,,Salinas Valley Health Medical Center
,,,Saline Memorial Hospital
,,,Samaritan Albany General Hospital
,,,Samaritan Hospital
,,,Samaritan Hospital - Main Campus
,,,Sampson Regional Medical Center
,,,San Antonio Regional Hospital
,,,San Dimas Community Hospital
,,,San Gabriel Valley Medical Center
,,,San Gorgonio Memorial Hospital
,,,San Joaquin General Hospital
,,,San Juan Regional Medical Center
,,,San Leandro Hospital
,,,San Mateo Medical Center
,,,San Ramon Regional Medical Center
,,,Sanford Aberdeen Medical Center
,,,Sanford Bemidji Medical Center
,,,Sanford Broadway Medical Center
,,,Sanford Medical Center - Bismarck
,,,Sanford Medical Center Fargo
,,,Sanford USD Medical Center
,,,Sanford Worthington Medical Center
,,,Santa Barbara Cottage Hospital
,,,Santa Clara Valley Medical Center
,,,Santa Paula Hospital
,,,Santa Rosa Medical Center
,,,Santiam Hospital & Clinics
,,,Sarah Bush Lincoln Health Center
,,,Sarasota Memorial Hospital
,,,Sarasota Memorial Hospital - Venice
,,,Saratoga Hospital
,,,Sauk Prairie Hospital
,,,Savoy Medical Center
,,,Scenic Mountain Medical Center
,,,Schneck Medical Center
,,,Scotland Health Care System
,,,Scripps Green Hospital
,,,Scripps Memorial Hospital of Encinitas
,,,Scripps Memorial Hospital of La Jolla
,,,Scripps Mercy Hospital of Chula Vista
,,,Scripps Mercy Hospital of San Diego
,,,Self Regional Healthcare
,,,Sentara Albemarle Medical Center
,,,Sentara CarePlex Hospital
,,,Sentara Halifax Regional Hospital
,,,Sentara Leigh Hospital
,,,Sentara Martha Jefferson Hospital
,,,Sentara Norfolk General Hospital
,,,Sentara Northern Virginia Medical Center
,,,Sentara Obici Hospital
,,,Sentara Princess Anne Hospital
,,,Sentara RMH Medical Center
,,,Sentara Virginia Beach General Hospital
,,,Sentara Williamsburg Regional Medical Center
,,,Sequoia Hospital
,,,Seton Medical Center Harker Heights
,,,Shannon Medical Center
,,,Sharon Hospital
,,,Sharp Chula Vista Medical Center
,,,Sharp Coronado Hospital and Healthcare Center
,,,Sharp Grossmont Hospital
,,,Sharp Memorial Hospital
,,,Shasta Regional Medical Center
,,,Shelby Baptist Medical Center
,,,Sheridan Memorial Hospital
,,,Sherman Oaks Hospital
,,,Shoals Hospital
,,,Shore Medical Center
,,,ShorePoint Health Port Charlotte
,,,ShorePoint Health Punta Gorda
,,,Sibley Memorial Hospital
,,,Sierra Nevada Memorial Hospital
,,,Sierra View Medical Center
,,,Siloam Springs Regional Hospital
,,,Silver Cross Hospital
,,,Sinai Hospital of Baltimore
,,,Singing River Gulfport
,,,Singing River Ocean Springs
,,,Singing River Pascagoula
,,,Skagit Valley Hospital
,,,Sky Lakes Medical Center
,,,Slidell Memorial Hospital
,,,Slidell Memorial Hospital East
,,,Sonoma Valley Hospital
,,,South Arkansas Regional Hospital
,,,South Baldwin Regional Medical Center
,,,South Central Regional Medical Center
,,,South Coast Global Medical Center
,,,South County Hospital
,,,South Florida Baptist Hospital
,,,South Georgia Medical Center
,,,South Shore Hospital
,,,South Shore University Hospital
,,,South Texas Health System Edinburg
,,,South Texas Health System Heart
,,,South Texas Health System McAllen
,,,Southampton Memorial Hospital
,,,Southeast Georgia Health System - Brunswick Campus
,,,Southeast Georgia Health System - Camden Campus
,,,Southeast Health Medical Center
,,,Southeast Iowa Regional Medical Center - Fort Madison
,,,Southeast Iowa Regional Medical Center - West Burlington Campus
,,,Southeastern Regional Medical Center
,,,Southern California Hospital at Culver City
,,,Southern California Hospital at Hollywood
,,,Southern Hills Hospital and Medical Center
,,,Southern New Hampshire Medical Center
,,,Southern Ohio Medical Center
,,,Southern Regional Medical Center
,,,Southern Tennessee Regional Health System - Lawrenceburg
,,,Southern Tennessee Regional Health System - Winchester
,,,Southern Tennessee Regional Health Systems Pulaski
,,,Southwest General Health Center
,,,Southwest Healthcare Inland Valley Hospital
,,,Southwest Healthcare Rancho Springs Hospital
,,,Southwest Mississippi Regional Medical Center
,,,Southwestern Vermont Medical Center
,,,Sovah Health Martinsville
,,,Sparrow Carson Hospital
,,,Spartanburg Medical Center
,,,Spartanburg Medical Center - Mary Black Campus
,,,Spencer Hospital
,,,Spotsylvania Regional Medical Center
,,,Spring Valley Hospital Medical Center
,,,Spring View Hospital
,,,Springfield Memorial Hospital
,,,Springhill Medical Center
,,,St. Bernards Medical Center
,,,St Catherine Hospital
,,,St. Mary Medical Center
,,,St Peter's Health Regional Medical Center
,,,St Vincent Anderson Regional Hospital
,,,St Vincent's Medical Center Program
,,,St Vincent's Chilton
,,,St. Anne Hospital
,,,St. Anthony Community Hospital
,,,St Anthony Hospital Program
,,,St. Anthony North Hospital
,,,St. Anthony Summit Hospital
,,,St Barnabas Hospital Program
,,,St. Bernard Parish Hospital
,,,St. Bernardine Medical Center
,,,St. Catherine Hospital - Dodge City
,,,St. Catherine Hospital - Garden City
,,,St. Catherine of Siena Hospital
,,,St. Charles Health System - Bend
,,,St. Charles Hospital
,,,St. Charles Parish Hospital
,,,St. Charles Redmond
,,,St. Claire Regional Medical Center
,,,St. Clare Hospital
,,,St. David's Georgetown Hospital
,,,St. David's Medical Center
,,,St. David's North Austin Medical Center
,,,St. David's Round Rock Medical Center
,,,St. David's South Austin Medical Center
,,,St. Dominic-Jackson Memorial Hospital
,,,St Elizabeth Boardman Hospital Program
,,,St. Elizabeth Community Hospital
,,,St. Elizabeth Dearborn
,,,St. Elizabeth Healthcare - Edgewood
,,,St. Elizabeth Healthcare - Florence
,,,St. Elizabeth Healthcare - Ft. Thomas
,,,St Elizabeth Youngstown Hospital Program
,,,St Elizabeth's Medical Center Program
,,,St. Francis Eastside
,,,St Francis Hospital and Medical Center Program
,,,St. Francis Hospital & Heart Center
,,,St. Francis Hospital - Downtown
,,,St. Francis-Emory Healthcare
,,,St. John's Episcopal Hospital
,,,St. John's Medical Center
,,,St. John's Regional Medical Center of Oxnard
,,,St. John's Riverside Hospital - Andrus Pavilion
,,,St. John’s Hospital Camarillo
,,,St. Joseph Hospital
,,,St. Joseph Hospital of Bangor
,,,St. Joseph Medical Center of Tacoma
,,,St. Joseph Warren Hospital
LUTZ,FL 33558,,St. Joseph's Hospital - North
,,,St. Joseph's Hospital - South
,,,St. Joseph's Medical Center of Stockton
,,,St. Joseph's Medical Center of Yonkers
,,,St Joseph's University Medical Center Program
,,,St. Joseph's Wayne Medical Center
,,,St. Joseph's Westgate Medical Center
,,,St. Jude Medical Center
,,,St. Louise Regional Hospital
,,,St. Luke's Baptist Hospital
,,,St. Luke's Boise Medical Center
,,,St. Luke's Carbon Campus
,,,St. Luke's Des Peres Hospital
,,,St. Luke's Easton Campus
,,,St. Luke's Health The Woodlands Hospital
,,,St Luke's Hospital Program
,,,St. Luke's Hospital - Allentown Campus
,,,St Luke's Hospital - Anderson Campus Program
,,,St. Luke's Hospital - Miners Campus
,,,St. Luke's Magic Valley Medical Center
,,,St. Luke's Meridian Medical Center
,,,St. Luke's Monroe Campus
,,,St. Luke's Nampa Medical Center
,,,St. Luke's Patients Medical Center
,,,St. Luke's Sacred Heart Campus
,,,St. Luke's University Hospital - Bethlehem Campus
,,,St. Luke's Upper Bucks Hospital
,,,St. Luke's Warren Campus
,,,St. Mark's Hospital
,,,St. Mary Corwin Hospital
,,,St. Mary Medical Center of Long Beach
,,,St. Mary's Health Care System
,,,St. Mary's Hospital Amsterdam
,,,St. Mary's Sacred Heart Hospital
,,,St. Michael Medical Center
,,,St. Rita's Medical Center
,,,St. Rose Dominican Hospitals - San Martin Campus
,,,St. Rose Dominican Hospitals - Siena Campus
,,,St. Rose Hospital
,,,St. Tammany Health System
,,,St. Vincent Carmel Hospital
,,,St. Vincent Indianapolis Hospital
,,,St. Vincent's Birmingham
,,,St Vincent's East Program
,,,St. Vincent's Medical Center Clay County
,,,St. Vincent's Medical Center Southside
,,,St. Vincent's St. Clair
,,,Stafford Hospital
,,,Stamford Health
,,,Stanford Health Care
,,,Stanford Health Care Tri-Valley
,,,Starr Regional Medical Center
,,,Staten Island University Hospital - North Campus
,,,Stephens County Hospital
,,,"Steward Good Samaritan Medical Center, Inc."
,,,Steward Sebastian River Medical Center
,,,Stillwater Medical Center
,,,StoneSprings Hospital Center
,,,Stonewall Jackson Memorial Hospital
,,,Stony Brook Eastern Long Island Hospital
,,,Stony Brook Southampton Hospital
,,,Stony Brook University Hospital
,,,Stormont Vail Health
,,,Straub Medical Center
,,,Strong Memorial Hospital
,,,Sturdy Memorial Hospital
,,,Suburban Community Hospital
,,,Suburban Hospital
,,,"Summa Health System, Akron Campus"
,,,Summa Health System/Barberton Campus Program
,,,Summerlin Hospital Medical Center
,,,Summerville Medical Center
,,,Summit Healthcare Regional Medical Center
,,,Sumner Regional Medical Center
,,,Sunrise Hospital and Medical Center
,,,Susan B. Allen Memorial Hospital
,,,Sutter Amador Hospital
,,,Sutter Auburn Faith Hospital
,,,Sutter Coast Hospital
,,,Sutter Davis Hospital
,,,Sutter Delta Medical Center
,,,Sutter Medical Center
,,,Sutter Roseville Medical Center
,,,Sutter Santa Rosa Regional Hospital
,,,Sutter Solano Medical Center
,,,Sutter Tracy Community Hospital
,,,Swedish Edmonds Hospital
,,,Swedish Health Services Issaquah
,,,Swedish Medical Center Ballard
,,,Swedish Medical Center/Cherry Hill Program
,,,Swedish Medical Center/First Hill Program
,,,Sweetwater Hospital Association
,,,Sycamore Shoals Hospital
,,,Syosset Hospital
,,,T. J. Samson Community Hospital
,,,Tacoma General Hospital
,,,Tallahassee Memorial Healthcare
,,,Tampa General Hospital Brooksville
,,,Tampa General Hospital Crystal River
,,,Tampa General Hospital Spring Hill
,,,Tanner Medical Center of Carrollton
,,,Tanner Medical Center of Villa Rica
,,,Taylor Hospital
,,,Temecula Valley Hospital
,,,Tempe St. Luke's Hospital
,,,Temple Health - Chestnut Hill Hospital
,,,Temple University Hospital - Main Campus
,,,Temple University Hospital Jeanes Campus
,,,Tennova - LaFollette Medical Center
,,,Tennova - North Knoxville Medical Center
,,,Tennova - Turkey Creek Medical Center
,,,Tennova Healthcare Jefferson Memorial Hospital
,,,Tennova Healthcare-Clarksville
,,,Tennova Newport Medical Center
,,,Terre Haute Regional Hospital
,,,Terrebonne General Health System
,,,Texas Health Allen
,,,Texas Health Alliance
,,,Texas Health Arlington Memorial Hospital
,,,Texas Health Azle
,,,Texas Health Cleburne
,,,Texas Health Denton
,,,Texas Health Flower Mound
,,,Texas Health Fort Worth
,,,Texas Health Frisco
,,,Texas Health Harris Methodist Hospital Hurst-Euless-Bedford
,,,Texas Health Hospital Rockwall
,,,Texas Health Huguley Hospital
,,,Texas Health Kaufman
,,,Texas Health Mansfield
,,,Texas Health Plano
,,,Texas Health Presbyterian Hospital Dallas
,,,Texas Health Southwest Fort Worth
,,,Texas Health Stephenville
,,,Texoma Medical Center
,,,The Bellevue Hospital
,,,The Brooklyn Hospital Center
,,,The Christ Hospital
,,,The Hospital of Central Connecticut
,,,The Hospitals of Providence - Sierra Campus
,,,The Hospitals of Providence - Transmountain Campus
,,,The Hospitals of Providence East Campus
,,,The Hospitals of Providence Memorial Campus
,,,The Johns Hopkins Hospital
,,,The Medical Center of Southeast Texas
,,,The Miriam Hospital
,,,The Mount Sinai Hospital
,,,The Ohio State University Hospital East
,,,The Ohio State University Wexner Medical Center
,,,The Queen's Medical Center
,,,The Queen's Medical Center West Oahu
,,,The University of Kansas Health System - Great Bend Campus
,,,The University of Kansas Hospital
,,,The University of Tennessee Medical Center
,,,University of Vermont Medical Center Program
,,,The Valley Hospital
,,,The William W. Backus Hospital
,,,The Wynn Hospital
,,,ThedaCare Regional Medical Center - Appleton
,,,ThedaCare Regional Medical Center - Neenah
,,,Thibodaux Regional Health System
,,,Thomas Hospital
,,,Thomas Jefferson University Hospital
,,,Thomas Jefferson University Hospital - Methodist Hospital Campus
,,,Thomas Memorial Hospital
,,,Thorek Memorial Hospital
,,,Three Crosses Regional Hospital
,,,Three Rivers Health Hospital
,,,TidalHealth Nanticoke
,,,"TidalHealth Peninsula Regional, Inc."
,,,Tidelands Georgetown Memorial Hospital
,,,Tidelands Waccamaw Community Hospital
,,,Tift Regional Medical Center
,,,Timpanogos Regional Hospital
,,,Titus County Hospital District dba Titus Regional Medical Center
,,,Tobey Hospital
,,,Torrance Memorial Medical Center
,,,Touro Infirmary
,,,Tri-City Medical Center
,,,TriCities Hospital
,,,TriStar NorthCrest Medical Center
,,,TriStar Southern Hills Medical Center
,,,TriStar StoneCrest Medical Center
,,,TriStar Summit Medical Center
,,,Trident Medical Center
,,,Trinitas Regional Medical Center RWJBH
,,,Trinity Health
,,,Trinity Health Ann Arbor Hospital
,,,Trinity Health Grand Haven
,,,Trinity Health Livingston Hospital
,,,Trinity Health Livonia
,,,Trinity Health Muskegon Hospital
,,,Trinity Health Oakland Hospital
,,,Trinity Medical Center West
,,,Trinity Health Grand Rapids Program
,,,Trios Southridge Hospital
,,,Tripler Army Medical Center
,,,Tristar Centennial Medical Center
,,,Tristar Greenview Regional Hospital
,,,Tristar Hendersonville Medical Center
,,,Tristar Horizon Medical Center
,,,Tristar Skyline Medical Center
,,,Troy Regional Medical Center
,,,Trumbull Regional Medical Center
,,,Tuba City Regional Health Care Corporation
,,,Tucson Medical Center
,,,Tufts Medical Center
,,,Tug Valley ARH Regional Medical Center
,,,Twin County Regional Healthcare
,,,U Mass Memorial Medical Center - Memorial Campus
,,,U Mass Memorial Medical Center - University Campus
,,,UAB Hospital
,,,UAB Hospital-Highlands
,,,UAMS Medical Center
,,,UC San Diego Health East Campus - East Campus Medical Center
,,,UC San Diego Health Hillcrest - Hillcrest Medical Center
,,,UC San Diego Health La Jolla - Jacobs Medical Center and Sulpizio Cardiovascular Center
,,,UCF Lake Nona Medical Center
,,,UCHealth Greeley Hospital
,,,UCHealth Highlands Ranch Hospital
,,,UCHealth Longs Peak Hospital
,,,UCHealth Medical Center of the Rockies
,,,UCHealth Memorial Hospital Central
,,,UCHealth Memorial Hospital North
,,,UCHealth Parkview Medical Center
,,,UCHealth Poudre Valley Hospital
,,,UCHealth University of Colorado Hospital
,,,UCHealth Yampa Valley Medical Center
,,,UCI Health
,,,UCI Health - Fountain Valley
,,,UCI Health - Lakewood
,,,UCI Health - Los Alamitos
,,,UCI Health - Placentia Linda
,,,UCLA Medical Center of Santa Monica
,,,UCLA West Valley Medical Center
,,,UCSF Health - Mission Bay
,,,UCSF Helen Diller Medical Center at Parnassus Heights
,,,UCSF Medical Center at Mount Zion
,,,UChicago Medicine AdventHealth Bolingbrook
,,,UChicago Medicine AdventHealth GlenOaks
,,,UChicago Medicine AdventHealth Hinsdale
,,,UChicago Medicine AdventHealth La Grange
,,,UF Health Jacksonville
,,,UF Health Leesburg Hospital
,,,UF Health North
,,,UF Health Shands Hospital
,,,UF Health The Villages Hospital
,,,UH Cleveland Medical Center
,,,UHS - Binghamton General Hospital
,,,UHS Chenango Memorial Hospital
,,,UHS Wilson Medical Center
,,,UK Good Samaritan Hospital
,,,UM Baltimore Washington Medical Center
,,,UNC Health Rockingham
,,,UNC Health Wayne
,,,UNM Sandoval Regional Medical Center
,,,UP Health System - Marquette
,,,UP Health System - Portage
,,,UPMC Altoona
,,,UPMC Bedford
,,,UPMC Carlisle
,,,UPMC Chautauqua
,,,UPMC Community
,,,UPMC East
,,,UPMC Hamot
,,,UPMC Hanover
,,,UPMC Harrisburg
,,,UPMC Horizon - Shenango Valley Campus
,,,UPMC Jameson
,,,UPMC Lititz
,,,UPMC McKeesport
,,,UPMC Memorial
,,,UPMC Mercy
,,,UPMC Northwest
,,,UPMC PASSAVANT
,,,UPMC Passavant - Cranberry
,,,UPMC Presbyterian
,,,UPMC ST MARGARET
,,,UPMC Shadyside
,,,UPMC Somerset
,,,UPMC West Shore
,,,UPMC Western Maryland
,,,UPMC Williamsport
,,,UR Medicine Noyes Health
,,,UR Medicine Thompson Health (AKA FF Thompson Hospital)
,,,USA Health Providence
,,,USC Arcadia Hospital
,,,USC Verdugo Hills Hospital
,,,UT Health Athens
,,,UT Health Henderson
,,,UT Health Tyler
,,,UT Southwestern Zale Lipshy Pavilion at William P. Clements Jr. University Hospital
,,,UTMB Health Angleton Danbury Campus
,,,UTMB Health Clear Lake Campus
,,,UTMB Health League City Campus Hospital
,,,UVA Haymarket Medical Center
,,,UVA Health Culpeper Medical Center
,,,UVA Prince William Medical Center
,,,UW Health East Madison Hospital
,,,UW Health SwedishAmerican Hospital
,,,UW Health University Hospital
,,,Uintah Basin Medical Center
,,,Umass Memorial Health Marlborogh Hospital
,,,Union General Hospital
,,,Uniontown Hospital
,,,United Hospital
,,,United Memorial Medical Center
,,,United Regional Health Care System
,,,Unity Health-White County Medical Center Program
,,,Unity Hospital
,,,UnityPoint Health - Finley Hospital
,,,UnityPoint Health - Iowa Lutheran Hospital
,,,UnityPoint Health - Meriter
,,,UnityPoint Health - St. Luke's Hospital in Cedar Rapids
,,,UnityPoint Health - Trinity Bettendorf
,,,UnityPoint Health - Trinity Moline
,,,UnityPoint Health - Trinity Muscatine
,,,UnityPoint Health - Trinity Regional Medical Center
,,,UnityPoint Health - Trinity Rock Island
,,,UnityPoint Health St Lukes Regional Medical Center
,,,UnityPoint Health-Grinnell Regional Medical Center
,,,University Health
,,,University Health Lakewood Medical Center
,,,University Health Truman Medical Center
,,,University Hospital Lake West Medical Center
,,,University Hospital TriPoint Medical Center
,,,University Hospital and Clinics
,,,University Hospitals Geauga Medical Center
,,,University Hospitals Elyria Medical Center
,,,University Hospitals Parma Medical Center
,,,University Hospitals Portage Medical Center
,,,University Hospitals Samaritan Medical Center
,,,University Hospitals St. John Medical Center
,,,University Medical Center New Orleans
,,,University Medical Center of El Paso
,,,University Medical Center of Southern Nevada
,,,University of California Davis Medical Center
,,,University of California Ronald Reagan UCLA Medical Center
,,,University of Chicago Medical Center
,,,University of Cincinnati Medical Center Inc Program
,,,"University of Connecticut Health Center, John Dempsey Hospital"
,,,University of Illinois Hospital and Health Sciences System
,,,University of Iowa Health Care Medical Center
,,,University of Iowa Health Care Medical Center Downtown
,,,University of Kansas Health System St Francis Campus
,,,University of Kentucky Albert B. Chandler Hospital
,,,University of Louisville Hospital
,,,University of Maryland Capital Region Medical Center
,,,University of Maryland Charles Regional Medical Center
,,,University of Maryland Medical Center
,,,University of Maryland Medical Center Midtown Campus
,,,University of Maryland Shore Medical Center at Easton
,,,University of Maryland St. Joseph Medical Center
,,,University of Maryland Upper Chesapeake Medical Center
,,,University of Michigan Health - Michigan Medicine
,,,University of Michigan Health System Program
,,,University of Michigan Health Sparrow Lansing
,,,University of Mississippi Medical Center
,,,University of Mississippi Medical Center Grenada
,,,University of New Mexico Hospital
,,,University of North Carolina Hospitals
,,,University of Texas Medical Branch - Galveston
,,,University of Toledo Medical Center
,,,University of Utah Hospital
,,,University of Virginia Medical Center
,,,University of Washington Medical Center - Montlake Campus
,,,University of Washington Medical Center - Northwest Campus
,,,UofL Health - Mary & Elizabeth Hospital
,,,UofL Health Shelbyville Hospital
,,,Upper Valley Medical Center
,,,Upson Regional Medical Center
,,,Upstate University Hospital
,,,Upstate University Hospital - Community Campus
,,,VCU Health Tappahannock Hospital
,,,VCU Medical Center Main Hospital
,,,Vail Health
,,,Val Verde Regional Medical Center
,,,Valley Baptist Medical Center Harlingen
,,,Valley Baptist Medical Center-Brownsville
,,,Valley Hospital Medical Center
,,,Valley Presbyterian Hospital
,,,Valley View Hospital
,,,Valleywise Health
,,,Vanderbilt Bedford Hospital
,,,Vanderbilt Tullahoma-Harton Hospital
,,,Vanderbilt University Hospital
,,,Vanderbilt Wilson County Hospital
,,,Vassar Brothers Medical Center
,,,Vaughan Regional Medical Center
,,,Ventura County Medical Center
,,,Verde Valley Medical Center
,,,Victor Valley Global Medical Center
,,,Viera Hospital
,,,Virginia Hospital Center--Arlington Health System
,,,Virginia Mason Medical Center
,,,Virtua Marlton Hospital
,,,Virtua Mount Holly Hospital
,,,Virtua Our Lady of Lourdes Hospital
,,,Virtua Voorhees Hospital
,,,Virtua Willingboro Hospital
,,,Vista Medical Center East
,,,WK Pierremont Health Center
,,,WVU Medicine Wheeling Hospital
,,,Wadley Regional Medical Center
,,,WakeMed Cary Hospital
,,,WakeMed North Hospital
,,,WakeMed Raleigh Campus
,,,Walker Baptist Medical
,,,Walter Reed National Military Medical Center
,,,Warren General Hospital
,,,Warren Memorial Hospital
,,,Washington Hospital
,,,Washington Hospital Healthcare System
,,,Watauga Medical Center
,,,Waterbury Hospital
,,,Watertown Regional Medical Center
,,,Watsonville Community Hospital
,,,Wayne General Hospital
,,,Wayne HealthCare
,,,Wayne Memorial Hospital
Weirton,WV 26062-5091,,Weirton Medical Center
,,,Weiss Memorial Hospital
,,,Wellspan Health/Chambersburg Hospital Program
,,,WellSpan Ephrata Community Hospital
,,,WellSpan Gettysburg Hospital
,,,Wellspan Health/York Hospital Program
,,,WellStar Spalding Regional Hospital
,,,Wellington Regional Medical Center
,,,Wellspan Good Samaritan Hospital
,,,Wellspan Waynesboro Hospital
,,,Wellstar Cobb Medical Center
,,,Wellstar Douglas Medical Center
,,,Wellstar Kennestone Medical Center
,,,Wellstar MCG Health
,,,Wellstar West Georgia Medical Center
,,,Wentworth-Douglass Hospital
,,,Wesley Long Community
,,,Wesley Medical Center
,,,Wesley Woodlawn Hospital & ER
,,,West Anaheim Medical Center
,,,West Boca Medical Center
,,,West Calcasieu Cameron Hospital
,,,West Chester Hospital
,,,West Jefferson Medical Center
,,,West Penn Hospital
,,,West Suburban Medical Center
,,,West Tennessee Healthcare Dyersburg Hospital
,,,West Tennessee Healthcare Henry County Hospital
,,,West Tennessee Healthcare Jackson-Madison County General Hospital
,,,West Tennessee Healthcare Volunteer Hospital
,,,West Valley Medical Center
,,,Westchester Medical Center
,,,Westerly Hospital
,,,Western Arizona Regional Medical Ctr
,,,Western Missouri Medical Center
,,,Western Reserve Hospital
,,,White Plains Hospital
,,,White River Medical Center
,,,White Rock Medical Center
,,,Whitesburg ARH Hospital
,,,Whitfield Regional Hospital
,,,Whittier Hospital Medical Center
,,,Wilcox Medical Center
,,,Wilkes-Barre General Hospital
,,,Willamette Valley Medical Ctr
,,,William Beaumont Army Medical Center
,,,William P. Clements Jr. University Hospital
,,,Williamson Medical Center
,,,Willis-Knighton Bossier Health Center
,,,Willis-Knighton Medical Center
,,,Willis-Knighton South & the Center for Women's Health
,,,Wilma Chan Highland Hospital Campus
,,,Wilson Health - Main Hospital Campus
,,,Wilson Medical Center
,,,Wilson N. Jones Regional Medical Center
,,,Winchester Hospital
,,,Windham Community Memorial Hospital
,,,Winona Health
,,,Winter Haven Hospital
,,,Witham Health Services
,,,Womack Army Medical Center
,,,Wood County Hospital
,,,Woodland Heights Medical Center
,,,Woodland Memorial Hospital
,,,Wooster Community Hospital
,,,Wright-Patterson Medical Center
,,,Wyckoff Heights Medical Center
,,,Wyoming Medical Center
,,,Wythe County Community Hospital
,,,Yale New Haven Hospital - Saint Raphael Campus
,,,Yale-New Haven Hospital
,,,Yavapai Regional  Medical Center - East Campus
,,,York Hospital
,,,Yuma Regional Medical Center
,,,Zuckerberg San Francisco General Hospital and Trauma Center
Birmingham,Alabama,Addiction Medicine (Multidisciplinary),University of Alabama Medical Center Program
Mobile,Alabama,Addiction Medicine (Multidisciplinary),USA Health Program
Anchorage,Alaska,Addiction Medicine (Multidisciplinary),Providence Hospital/Alaska Family Medicine Program
Phoenix,Arizona,Addiction Medicine (Multidisciplinary),University of Arizona College of Medicine - Phoenix Program
Scottsdale,Arizona,Addiction Medicine (Multidisciplinary),HonorHealth Program
Tucson,Arizona,Addiction Medicine (Multidisciplinary),University of Arizona College of Medicine-Tucson Program
Little Rock,Arkansas,Addiction Medicine (Multidisciplinary),University of Arkansas for Medical Sciences (UAMS) College of Medicine Program
Bakersfield,California,Addiction Medicine (Multidisciplinary),Clinica Sierra Vista - Bakersfield Program
Bakersfield,California,Addiction Medicine (Multidisciplinary),Kern Medical Center Program
Loma Linda,California,Addiction Medicine (Multidisciplinary),Loma Linda University Health Education Consortium Program
Los Angeles,California,Addiction Medicine (Multidisciplinary),"Charles R Drew University of Medicine and Science, College of Medicine Program"
Oakland,California,Addiction Medicine (Multidisciplinary),Alameda Health System-Highland Hospital Program
San Francisco,California,Addiction Medicine (Multidisciplinary),University of California (San Francisco) Program
San Leonardo,California,Addiction Medicine (Multidisciplinary),Kaiser Permanente Northern California (Oakland) Program
Santa Monica,California,Addiction Medicine (Multidisciplinary),UCLA David Geffen School of Medicine/UCLA Medical Center Program
Santa Rosa,California,Addiction Medicine (Multidisciplinary),Sutter Health/Sutter Santa Rosa Regional Hospital Program
Stanford,California,Addiction Medicine (Multidisciplinary),Stanford Health Care-Sponsored Stanford University Program
Aurora,Colorado,Addiction Medicine (Multidisciplinary),University of Colorado (University Hospital) Program
Kent,Connecticut,Addiction Medicine (Multidisciplinary),New York Institute of Technology College of Osteopathic Medicine Program
Middletown,Connecticut,Addiction Medicine (Multidisciplinary),Institute of Living/Hartford Hospital Program
New Haven,Connecticut,Addiction Medicine (Multidisciplinary),Yale-New Haven Medical Center (Primary Care) Program
Brandon,Florida,Addiction Medicine (Multidisciplinary),HCA Florida Healthcare/USF Morsani College of Medicine GME Brandon Hospital
Gainesville,Florida,Addiction Medicine (Multidisciplinary),"University of Florida Program
					
					 Osteopathic Recognized!"
Augusta,Georgia,Addiction Medicine (Multidisciplinary),Medical College of Georgia Program
Savannah,Georgia,Addiction Medicine (Multidisciplinary),Gateway Behavioral Health Community Service Board Program
Honolulu,Hawaii,Addiction Medicine (Multidisciplinary),University of Hawaii Program
Boise,Idaho,Addiction Medicine (Multidisciplinary),Full Circle Health (Boise) Program
Boise,Idaho,Addiction Medicine (Multidisciplinary),University of Washington [Boise] Program
Chicago,Illinois,Addiction Medicine (Multidisciplinary),University of Illinois College of Medicine at Chicago Program
Springfield,Illinois,Addiction Medicine (Multidisciplinary),Southern Illinois University Program
Indianapolis,Indiana,Addiction Medicine (Multidisciplinary),Community Health Network Program
